dataset,model,metric,value,unit,split,seed,aggregation,source_artifact,source_commit,status,notes
PJM,Standalone TCN,MAE,461.5191,MW,val,42,single-seed (1294 val windows),research/results/phase12_dataset_summary.csv,c67067d8,authoritative_validation_baseline,Locked Phase 12 validation baseline used for causal OOF screening
PJM,Standalone TCN,MAE,259.326416,MW,test,42,1294 test windows,research/results/phase11_dataset_summary.csv,c67067d8,authoritative_test_benchmark,Realized test MAE of best standalone expert across test split
PJM,Equal Ensemble,MAE,279.828156,MW,test,42,1294 test windows,research/results/phase11_dataset_summary.csv,c67067d8,authoritative_test_benchmark,Unweighted average of 3 standalone experts on test split
PJM,CAEG-Net V1,MAE,253.408461,MW,test,5-seed mean,"5 seeds {42, 123, 999, 2024, 3407}",research/results/phase14_test_results.csv,c67067d8,authoritative_test_result,Historical Phase 14 baseline model
PJM,CAEG-Net F2 (A2-OOF),MAE,250.974716,MW,test,5-seed mean,"5 seeds {42, 123, 999, 2024, 3407}",research/results/phase14_test_results.csv,c67067d8,authoritative_test_result,"Canonical final model (beats standalone test benchmark 259.33 MW by -8.35 MW, -3.22%)"
GEFCom,Standalone TCN,MAE,13.370123,kW,val,42,single-seed (10944 val windows),research/results/phase12_dataset_summary.csv,c67067d8,authoritative_validation_baseline,Locked Phase 12 validation baseline used for causal OOF screening
GEFCom,Standalone TCN,MAE,12.572886,kW,test,42,10944 test windows,research/results/phase11_dataset_summary.csv,c67067d8,authoritative_test_benchmark,Realized test MAE of best standalone expert across test split
GEFCom,Equal Ensemble,MAE,12.624822,kW,test,42,10944 test windows,research/results/phase11_dataset_summary.csv,c67067d8,authoritative_test_benchmark,Unweighted average of 3 standalone experts on test split
GEFCom,CAEG-Net V1,MAE,12.879664,kW,test,5-seed mean,"5 seeds {42, 123, 999, 2024, 3407}",research/results/phase14_test_results.csv,c67067d8,authoritative_test_result,Historical Phase 14 baseline model
GEFCom,CAEG-Net F2 (A2-OOF),MAE,12.407742,kW,test,5-seed mean,"5 seeds {42, 123, 999, 2024, 3407}",research/results/phase14_test_results.csv,c67067d8,authoritative_test_result,"Canonical final model (beats standalone test benchmark 12.57 kW by -0.165 kW, -1.31%)"
UCI,Standalone LSTM,MAE,7.554153,MW,val,42,single-seed (1294 val windows),research/results/phase12_dataset_summary.csv,c67067d8,authoritative_validation_baseline,Locked Phase 12 validation baseline (7.55 MW is strictly a validation split baseline)
UCI,Standalone LSTM,MAE,7.79447,MW,test,42,3922 test windows,research/results/phase11_dataset_summary.csv,c67067d8,authoritative_test_benchmark,Realized test MAE of best standalone expert across test split (7.79 MW is the test benchmark)
UCI,Equal Ensemble,MAE,8.167454,MW,test,42,3922 test windows,research/results/phase11_dataset_summary.csv,c67067d8,authoritative_test_benchmark,Unweighted average of 3 standalone experts on test split
UCI,CAEG-Net V1,MAE,7.937378,MW,test,5-seed mean,"5 seeds {42, 123, 999, 2024, 3407}",research/results/phase14_test_results.csv,c67067d8,authoritative_test_result,Historical Phase 14 baseline model
UCI,CAEG-Net F2 (A2-OOF),MAE,7.737148,MW,test,5-seed mean,"5 seeds {42, 123, 999, 2024, 3407}",research/results/phase14_test_results.csv,c67067d8,authoritative_test_result,"Canonical final model (beats standalone test benchmark 7.79 MW by -0.057 MW, -0.74%; does not beat val baseline 7.55 MW)"
