dataset,expert,mae,split,seed,aggregation,protocol,source_artifact,authoritative_status,reason
PJM,TCN,259.326416,test,42,mean across 1294 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,AUTHORITATIVE_TEST_BENCHMARK,Authoritative locked Phase 11 best standalone expert on PJM test split. Used as the standalone test reference for Fusion Gain.
PJM,LSTM,287.839417,test,42,mean across 1294 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,STANDALONE_EXPERT_TEST_RESULT,Realized test MAE of standalone LSTM. Evaluated as top-1 router selection for Selection Regret (+28.51 MW vs TCN).
PJM,CNN,411.971252,test,42,mean across 1294 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,STANDALONE_EXPERT_TEST_RESULT,Realized test MAE of standalone CNN (worst standalone expert on PJM).
PJM,TCN,461.5191,val,42,mean across 1294 val windows,sliding-window validation evaluation,research/results/phase12_dataset_summary.csv,AUTHORITATIVE_VALIDATION_BASELINE,Locked Phase 12 validation baseline used for causal OOF screening.
PJM,LSTM (Hallucinated),258.25,test,42,single window / chat calculation error,improper subtraction: F2_seed42 (249.90) - G_fusion (-8.35),none (chat-only calculation artifact),ERRONEOUS_REJECTED,Erronously appeared in Phase 15A-D chat summary by back-calculating from Seed 42 F2 and mislabeling as LSTM. Rejected; not a valid baseline.
GEFCom,TCN,12.572886,test,42,mean across 10944 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,AUTHORITATIVE_TEST_BENCHMARK,Authoritative locked Phase 11 best standalone expert on GEFCom test split. Used as the standalone test reference for Fusion Gain.
GEFCom,LSTM,13.330461,test,42,mean across 10944 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,STANDALONE_EXPERT_TEST_RESULT,Realized test MAE of standalone LSTM. Evaluated as top-1 router selection for Selection Regret (+0.76 kW vs TCN).
GEFCom,CNN,14.329641,test,42,mean across 10944 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,STANDALONE_EXPERT_TEST_RESULT,Realized test MAE of standalone CNN (worst standalone expert on GEFCom).
GEFCom,TCN,13.370123,val,42,mean across 10944 val windows,sliding-window validation evaluation,research/results/phase12_dataset_summary.csv,AUTHORITATIVE_VALIDATION_BASELINE,Locked Phase 12 validation baseline used for causal OOF screening.
GEFCom,TCN (Hallucinated),2.145,test,42,window-level delta / spread artifact,pairwise MAE difference / ramp metric in phase11_window_metrics.csv,none (chat-only misattribution),ERRONEOUS_REJECTED,Erronously appeared in Phase 15A-D chat summary by misinterpreting window-level ramp/spread metrics as dataset test MAE. Rejected; demand scale is ~150 kW and MAE is ~12.57 kW.
UCI,LSTM,7.79447,test,42,mean across 3922 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,AUTHORITATIVE_TEST_BENCHMARK,Authoritative locked Phase 11 best standalone expert on UCI held-out test split. Used as the standalone test reference for Fusion Gain.
UCI,LSTM,7.554153,val,42,mean across 1294 val windows,sliding-window validation evaluation,research/results/phase12_dataset_summary.csv,AUTHORITATIVE_VALIDATION_BASELINE,Locked Phase 12 validation baseline used for causal OOF screening. F2 (7.74 MW) does NOT beat this validation baseline.
UCI,TCN,8.57498,test,42,mean across 3922 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,STANDALONE_EXPERT_TEST_RESULT,Realized test MAE of standalone TCN on UCI test split.
UCI,CNN,11.658134,test,42,mean across 3922 test windows,sliding-window test evaluation,research/results/phase11_dataset_summary.csv,STANDALONE_EXPERT_TEST_RESULT,Realized test MAE of standalone CNN (worst standalone expert on UCI). Evaluated as top-1 router selection for Selection Regret (+3.86 MW vs LSTM).
UCI,TCN (Hallucinated),12.0,test,42,chat misattribution of CNN error,conflation of worst expert (CNN 11.66 MW ~ 12 MW) with TCN,none (chat-only misattribution),ERRONEOUS_REJECTED,Erronously appeared in Phase 15A-D chat summary by conflating CNN (~11.66 MW) with TCN and mislabeling it as Best Standalone. Rejected; LSTM is best standalone (7.79 MW test / 7.55 MW val).
